Stock quote and option quote for ABNB on 3/13/22 23:37:10

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
145.14,Q,-6.66,144.51,P,145.18,P,1 x 1,"4,577,255",154.13,155.00,145.00

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
"208,903",<empty>,-254.6,<empty>,--,,215.49,129.71,"633,672,940",1.346

18 MAR 22  (5)  100
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.66,.03,-.52,.06,473,9.18,M,81.56%,8.35,X,8.60,D,18 MAR 22,140,3.20,B,3.40,Q,-.34,.03,-.52,.06,"1,972",3.35,D,81.02%,,
,,.63,.03,-.54,.07,57,7.80,T,82.14%,7.70,X,8.10,Q,18 MAR 22,141,3.55,B,3.75,Q,-.36,.03,-.53,.06,70,3.40,N,80.45%,,
,,.61,.03,-.54,.07,401,9.70,T,80.39%,7.05,X,7.35,D,18 MAR 22,142,3.85,X,4.15,X,-.39,.03,-.53,.07,141,4.05,C,79.49%,,
,,.58,.03,-.55,.07,53,7.13,I,80.12%,6.45,I,6.80,B,18 MAR 22,143,4.25,X,4.55,X,-.42,.03,-.54,.07,55,4.50,J,78.87%,,
,,.55,.03,-.55,.07,90,7.62,E,79.08%,5.90,X,6.15,D,18 MAR 22,144,4.75,X,5.00,X,-.45,.03,-.55,.07,41,4.80,N,78.94%,,
,,.52,.03,-.55,.07,717,5.67,W,79.07%,5.40,J,5.65,B,18 MAR 22,145,5.15,B,5.55,X,-.48,.03,-.55,.07,"1,868",5.40,Z,78.57%,,
,,.49,.03,-.55,.07,42,5.45,N,78.65%,4.90,J,5.15,B,18 MAR 22,146,5.70,X,5.95,Q,-.51,.03,-.54,.07,141,5.80,D,77.78%,,
,,.46,.03,-.54,.07,449,4.71,C,77.80%,4.40,X,4.65,B,18 MAR 22,147,6.10,X,6.45,Q,-.54,.03,-.53,.07,140,6.36,M,76.21%,,
,,.44,.03,-.54,.07,202,4.20,B,78.00%,3.95,X,4.30,X,18 MAR 22,148,6.65,P,7.10,B,-.57,.03,-.53,.07,115,6.80,B,76.39%,,
,,.41,.03,-.52,.07,165,4.00,Q,77.02%,3.55,X,3.80,X,18 MAR 22,149,7.25,X,7.60,B,-.60,.03,-.51,.07,86,7.43,I,75.40%,,
,,.38,.03,-.50,.07,"1,957",3.25,A,75.98%,3.15,X,3.35,D,18 MAR 22,150,7.80,B,8.20,X,-.63,.03,-.49,.07,"1,224",8.03,I,74.33%,,
,,.30,.03,-.45,.06,200,2.42,I,74.69%,2.33,X,2.47,D,18 MAR 22,152.5,9.60,X,9.90,X,-.69,.03,-.45,.06,53,9.05,N,74.59%,,

25 MAR 22  (12)  100 (Weeklys)
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.63,.02,-.30,.10,134,11.00,P,72.24%,10.15,Q,10.55,C,25 MAR 22,140,5.15,D,5.60,Z,-.37,.02,-.31,.10,227,4.95,I,73.90%,,
,,.61,.02,-.30,.10,0,0, ,71.72%,9.50,X,9.95,D,25 MAR 22,141,5.35,X,5.75,X,-.39,.02,-.30,.10,15,5.48,I,71.38%,,
,,.59,.02,-.31,.10,8,10.90,Z,72.21%,9.10,D,9.35,D,25 MAR 22,142,5.90,D,6.20,X,-.41,.02,-.31,.10,1,6.00,N,71.88%,,
,,.57,.02,-.31,.10,1,8.76,M,71.53%,8.40,X,8.85,B,25 MAR 22,143,6.25,B,6.55,Q,-.43,.02,-.31,.10,21,5.52,M,70.72%,,
,,.55,.02,-.32,.10,0,8.85,B,71.85%,7.95,Q,8.35,B,25 MAR 22,144,6.75,D,7.00,J,-.45,.02,-.31,.10,7,6.66,I,70.58%,,
,,.53,.02,-.31,.11,59,8.00,B,70.31%,7.35,X,7.65,C,25 MAR 22,145,7.15,B,7.50,X,-.47,.02,-.31,.11,453,7.27,M,69.99%,,
,,.51,.02,-.31,.11,2,7.05,E,70.70%,6.90,X,7.25,B,25 MAR 22,146,7.75,D,8.10,X,-.49,.02,-.31,.11,6,6.35,Q,70.62%,,
,,.49,.02,-.31,.11,1,7.85,B,70.19%,6.45,D,6.70,D,25 MAR 22,147,8.20,B,8.55,X,-.51,.02,-.31,.11,25,8.30,Z,69.64%,,
,,.46,.02,-.30,.11,3,7.00,A,69.00%,5.85,X,6.20,C,25 MAR 22,148,8.75,D,9.05,Q,-.54,.02,-.30,.11,29,8.85,T,69.16%,,
,,.44,.02,-.30,.10,15,6.00,D,68.79%,5.45,Q,5.75,C,25 MAR 22,149,9.25,B,9.60,X,-.56,.02,-.30,.10,23,9.45,N,68.48%,,
,,.42,.02,-.30,.10,350,5.25,Z,68.87%,5.10,Q,5.35,D,25 MAR 22,150,9.90,D,10.15,D,-.58,.02,-.30,.10,273,10.06,A,68.32%,,
,,.37,.02,-.28,.10,10,4.34,M,67.82%,4.15,X,4.35,D,25 MAR 22,152.5,11.30,X,11.70,X,-.63,.02,-.28,.10,2,11.39,C,66.76%,,

1 APR 22  (19)  100 (Weeklys)
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.87,.01,-.15,.07,18,27.45,M,79.81%,26.55,J,27.45,B,1 APR 22,120,1.59,X,1.77,Z,-.12,.01,-.14,.07,403,1.49,A,77.20%,,
,,.82,.01,-.17,.09,0,0, ,77.40%,22.40,J,23.20,B,1 APR 22,125,2.35,X,2.81,B,-.17,.01,-.17,.09,89,2.16,A,76.47%,,
,,.77,.01,-.20,.10,33,22.00,Z,74.18%,18.40,X,19.15,X,1 APR 22,130,3.40,X,3.60,X,-.23,.01,-.19,.10,231,3.25,Q,72.85%,,
,,.70,.01,-.22,.12,19,14.34,X,71.32%,14.70,B,15.45,B,1 APR 22,135,4.75,J,5.00,X,-.30,.01,-.22,.12,197,4.68,I,70.81%,,
,,.62,.02,-.23,.13,88,15.84,Z,70.27%,11.70,X,12.20,J,1 APR 22,140,6.55,X,6.80,X,-.38,.02,-.23,.13,165,6.10,E,69.21%,,
,,.53,.02,-.24,.13,202,9.13,I,68.51%,8.95,B,9.35,B,1 APR 22,145,8.75,D,9.15,Q,-.47,.02,-.24,.13,146,8.70,P,68.07%,,
,,.44,.02,-.23,.13,253,7.10,J,66.73%,6.60,X,6.95,B,1 APR 22,150,11.35,D,11.70,X,-.56,.02,-.23,.13,228,10.15,Q,65.93%,,
,,.36,.02,-.21,.12,281,4.85,A,65.13%,4.75,X,4.95,D,1 APR 22,155,14.35,B,14.80,B,-.64,.02,-.21,.12,232,12.67,I,64.10%,,
,,.28,.02,-.19,.11,275,3.56,M,63.90%,3.25,X,3.50,B,1 APR 22,160,17.80,X,18.80,Z,-.72,.02,-.19,.11,158,16.00,W,64.62%,,
,,.20,.01,-.15,.09,327,2.22,C,62.20%,2.09,B,2.34,D,1 APR 22,165,21.50,X,22.35,X,-.80,.01,-.15,.09,97,20.46,M,60.93%,,
,,.15,.01,-.13,.08,484,1.50,M,62.42%,1.41,P,1.64,X,1 APR 22,170,25.55,Z,26.75,X,-.85,.01,-.12,.08,55,21.20,I,60.15%,,
,,.10,.01,-.09,.06,810,.99,N,60.51%,.81,X,1.00,A,1 APR 22,175,30.45,D,31.00,J,-.88,.01,-.10,.06,20,28.95,C,61.69%,,

8 APR 22  (26)  100 (Weeklys)
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.85,.01,-.13,.09,1,32.00,Q,76.13%,27.25,X,28.10,X,8 APR 22,120,2.33,X,2.65,X,-.15,.01,-.13,.09,109,2.23,C,75.64%,,
,,.79,.01,-.17,.11,0,0, ,78.71%,23.30,X,24.95,Z,8 APR 22,125,3.20,X,3.45,X,-.19,.01,-.15,.11,107,2.36,D,72.67%,,
,,.75,.01,-.17,.12,6,22.65,Z,71.33%,19.35,X,20.10,X,8 APR 22,130,4.40,N,4.65,Q,-.25,.01,-.17,.12,56,4.05,Z,70.85%,,
,,.68,.01,-.19,.14,5,18.05,D,69.83%,15.95,X,16.60,B,8 APR 22,135,5.90,M,6.30,X,-.31,.01,-.18,.14,98,4.90,B,69.59%,,
,,.61,.01,-.20,.15,146,16.15,B,68.40%,12.95,X,13.40,B,8 APR 22,140,7.65,X,8.05,B,-.39,.01,-.19,.15,174,6.65,N,67.17%,,
,,.54,.02,-.20,.15,71,8.80,M,67.55%,10.25,J,10.80,J,8 APR 22,145,9.75,P,10.45,X,-.46,.02,-.20,.15,91,8.55,B,65.72%,,
,,.46,.02,-.20,.15,145,8.10,N,65.73%,7.80,X,8.40,X,8 APR 22,150,12.55,X,13.05,X,-.54,.02,-.19,.15,116,12.65,C,64.73%,,
,,.38,.02,-.18,.15,119,6.00,Q,64.09%,5.90,X,6.25,X,8 APR 22,155,15.60,X,16.05,X,-.62,.02,-.18,.15,28,11.92,W,63.41%,,
,,.31,.01,-.17,.14,101,4.50,N,63.46%,4.35,B,4.75,B,8 APR 22,160,18.95,D,19.60,X,-.69,.01,-.16,.14,36,16.87,M,62.60%,,
,,.24,.01,-.14,.12,105,3.27,I,61.92%,3.10,A,3.35,X,8 APR 22,165,22.60,X,23.25,X,-.76,.01,-.14,.12,7,22.32,C,60.85%,,
,,.19,.01,-.12,.11,183,2.32,I,61.41%,2.17,X,2.45,X,8 APR 22,170,24.70,Z,28.95,Z,-.82,.01,-.11,.10,2,25.96,I,58.59%,,
,,.14,.01,-.10,.09,92,1.60,N,60.33%,1.35,X,1.79,X,8 APR 22,175,31.00,D,31.65,X,-.85,.01,-.10,.09,5,31.19,C,60.19%,,

14 APR 22  (32)  100
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.84,.01,-.12,.11,85,31.85,B,73.97%,27.95,X,28.50,B,14 APR 22,120,2.79,J,2.94,X,-.16,.01,-.12,.10,"2,793",2.90,Q,71.90%,,
,,.79,.01,-.14,.12,487,25.70,Z,71.60%,24.00,X,24.40,B,14 APR 22,125,3.80,X,4.00,X,-.21,.01,-.13,.12,"1,482",3.74,I,70.32%,,
,,.74,.01,-.15,.14,159,22.25,A,69.74%,20.25,X,20.70,B,14 APR 22,130,5.10,B,5.30,X,-.26,.01,-.15,.14,"2,201",5.01,I,68.79%,,
,,.68,.01,-.17,.15,157,19.00,Q,68.67%,16.85,X,17.45,X,14 APR 22,135,6.70,X,7.00,N,-.32,.01,-.16,.15,"1,127",6.80,N,67.64%,,
,,.61,.01,-.17,.17,364,14.67,X,67.15%,13.85,X,14.30,B,14 APR 22,140,8.60,X,9.00,B,-.39,.01,-.17,.17,"1,299",8.65,Z,66.35%,,
